prefab_name: "Berlin:Story/Audran"
character_sheet_id: "crew_zielor_lv6"
equipment_sheet_id: "crew_zielor_lv6_gear"
character_mod {
  stats {
    body: 0
    quickness: 0
    strength: 0
    charisma: 0
    intelligence: 0
    willpower: 0
    essence: 0
    magic: 0
    hp: 0
    ap: 0
    armor: 0
    force: 0
    morale: 0
    discipline: 0
    awareness: 0
    perception: 0
    authority: 0
    protect_tether_range: 0
    move_speed: 0
    vision_peripheral_distance: 0
    vision_cone_distance: 0
    vision_cone_angle: 0
  }
  skills {
    ranged_combat: 0
    close_combat: 0
    throwing_weapons: 0
    spellcasting: 0
    decking: 0
    conjuring: 0
    spirit_summoning: 0
    drone_control: 0
    biotech: 0
    dodge: 0
    etiquette_corporate: 0
    etiquette_security: 0
    etiquette_gang: 0
    etiquette_socialite: 0
    chi_casting: 0
    etiquette_shadowrunner: 0
    etiquette_street: 0
    etiquette_academic: 0
    cyberware_affinity: 0
  }
  specializations {
    pistol: 0
    rifle: 0
    shotgun: 0
    smg: 0
    edged: 0
    unarmed: 0
    spirit_control: 0
    esp_control: 0
    drone_combat: 0
  }
  archetypeName: "gumbo_Soldier"
  attitude: AttitudeAggressive
  attackRandom: AttackStyle_AllEqual
  vulnerabilities {
  }
}
team_id: "LoneStar"
char_name: "Zielor"
GeneralTags: "isZielor"
pc_spawn_number: -1
hiring_type: HiringType_Hireable
cyberware_eyes: "(Eyes) Vision Magnification Eyes 2"
cyberware_left_arm: "(Arm) Auto Loader Cyberarm"
cyberware_right_arm: "(Arm) Shiawase Magnet Arm"
cyberware_left_leg: "(Leg) Hydraulic Jack Mk 1"
portrait {
  filename: "pc_orkmale_08_modhead"
}
description_bio: "One of Saito\'s most feared opponents has joined your team, but how long will he stay?"
karma: 215
hiring_cost_override: 0
hiring_tag: "Crew: Freedom Fighter"
scale_character_sheet: true
id: "crew_lv6_zielor"
crew_id: "Crew: Freedom Fighter"
cyberware_weapon: "Weapon 3 Hand Razor"
cyberware_skin: "(Skin) Dermal Plating Mk 2"
