id: "CyberdeckExcaliburSable"
type: ItemType_Decker
uirep {
  icon: "icon_deck_fairlightexcaliber"
  name: "Fairlight Excalibur"
  description: "A top-of-the-line that every decker dreams of owning. Adds 15s when hacking Blocker IC."
}
equipPrefabName: "deck_conceptcar"
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Decking
prereqStrings: "Player.FLAG.HAS_DATAJACK == 1"
decking_default_weapon: "Matrix Basic Attack (Ranged 2)"
decking_hardening: 6
decking_body: 6
decking_evasion: 5
decking_max_ip: 300
decking_max_ap: 4
decking_program_limit: 6
decking_esp_limit: 3
decking_persona_free_move_speed: 350
decking_bip_hack_time_increase: 1500
store_cost: 10
sorting_group: "Cyberdecks"
decking_turn_mode_move_speed: 9
