id: "PR Suppression 2"
type: ItemType_DeckerProgram
uirep {
  icon: "icon_suppression"
  name: "Suppression 2.0"
  description: "Reduces System Trace by 50, shares a cooldown with other suppression programs."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Decking
forceRating: 1
apCost: 3
prereqStrings: "Player.SKILL.Skill_Decking >= 1"
baseHPDamage: 50
baseAPDamage: 0
noiseLevel: 0
noiseRounds: 0
modelessAbilities: "Supress (Matrix)"
affectsFriendly: true
affectsEnemy: false
canTargetSelf: true
canTargetActor: false
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
cooldown: 6
cooldown_category: "suppression"
isMagic: false
fxrep {
  preActionFxName: "MatrixSpellPrepare"
  actionFxName: "MatrixCastAction"
  postActionFxName: ""
  hitReactionFxName: "MatrixBuffHitReaction"
  missReactionFxName: "MatrixCastMissReaction"
}
store_cost: 400
sorting_group: "Programs"
