id: "Sh 2 Sandblaster Persi"
type: ItemType_Shotgun
uirep {
  icon: "icon_gun_sandblaster"
  name: "\"Sandblaster\""
  description: "Shotgun: This custom made implement was designed for protracted engagements against armored targets. Each hit reduces the target\'s armor by 1."
}
equipPrefabName: "StreetSweeperShotgun"
anim_type: AnimType_Shotgun
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Shotgun
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 4"
prereqStrings: "Player.RACE != RACE.DRONE"
prereqStrings: "Player.RACE != RACE.FREEDRONE"
maxAmmo: 2
baseHPDamage: 12
baseAPDamage: 0
rangeModTable: 12
rangeModTable: 10
rangeModTable: 10
rangeModTable: 8
rangeModTable: 8
rangeModTable: 4
rangeModTable: 0
rangeModTable: -4
rangeModTable: -8
rangeModTable: -12
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
rangeModTable: -26
rangeModTable: -28
rangeModTable: -30
rangeModTable: -32
rangeModTable: -34
rangeModTable: -36
rangeModTable: -38
rangeModTable: -40
rangeModTable: -42
effectModTable: 0.75
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.25
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
spreadAngle: 14.5
abilityModes: "DC Sandblaster (Shotgun)"
abilityModes: "DC Single (Persi)"
rpReduce: 1
affectsEnemy: true
canTargetActor: true
store_cost: 10
sorting_group: "Unique"
maim_always: true
